drug	genes	mode	question	answer	llm_answer	llm_genes	precision	recall
abacavir	HLA-B	clinician	I want to give my patient abacavir. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	HLA-B	['HLA-B']	1.0	1.0
abacavir	HLA-B	researcher	What genes have actionable pharmacogenetic guidelines for abacavir? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	HLA-B	['HLA-B']	1.0	1.0
aceclofenac	CYP2C9	clinician	I want to give my patient aceclofenac. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9	CYP2C9;SLCO1B1;UGT1A6;UGT2B7	['CYP2C9', 'SLCO1B1', 'UGT1A6', 'UGT2B7']	0.25	1.0
aceclofenac	CYP2C9	researcher	What genes have actionable pharmacogenetic guidelines for aceclofenac? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2C9	CYP2C9	['CYP2C9']	1.0	1.0
alfentanil	CYP2D6	clinician	I want to give my patient alfentanil. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	CYP3A4;CYP3A5	['CYP3A4', 'CYP3A5']	0.0	0.0
alfentanil	CYP2D6	researcher	What genes have actionable pharmacogenetic guidelines for alfentanil? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6	OPRM1	['OPRM1']	0.0	0.0
allopurinol	HLA-B	clinician	I want to give my patient allopurinol. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	HLA-B;ABCG2	['HLA-B', 'ABCG2']	0.5	1.0
allopurinol	HLA-B	researcher	What genes have actionable pharmacogenetic guidelines for allopurinol? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	HLA-B	['HLA-B']	1.0	1.0
amikacin	MT-RNR1	clinician	I want to give my patient amikacin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	MT-RNR1	['MT-RNR1']	1.0	1.0
amikacin	MT-RNR1	researcher	What genes have actionable pharmacogenetic guidelines for amikacin? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	MT-RNR1	['MT-RNR1']	1.0	1.0
