gene	drugs	question	answer	llm_answer	llm_drugs	precision	recall
ABCG2	pitavastatin;simvastatin;rosuvastatin;lovastatin;fluvastatin;atorvastatin;pravastatin	Which drugs have actionable CPIC guidelines for ABCG2? Please respond with nothing but a list of generic drug names delimited by ';'.	pitavastatin;simvastatin;rosuvastatin;lovastatin;fluvastatin;atorvastatin;pravastatin	allopurinol; rosuvastatin	['allopurinol', 'rosuvastatin']	0.5	0.14285714285714285
CACNA1S	methoxyflurane;halothane;sevoflurane;isoflurane;desflurane;succinylcholine;enflurane	Which drugs have actionable CPIC guidelines for CACNA1S? Please respond with nothing but a list of generic drug names delimited by ';'.	methoxyflurane;halothane;sevoflurane;isoflurane;desflurane;succinylcholine;enflurane	Dantrolene; succinylcholine.	['dantrolene', 'succinylcholine.']	0.0	0.0
CFTR	ivacaftor	Which drugs have actionable CPIC guidelines for CFTR? Please respond with nothing but a list of generic drug names delimited by ';'.	ivacaftor	Ivacaftor; Lumacaftor/ivacaftor; Tezacaftor/ivacaftor; Elexacaftor/tezacaftor/ivacaftor.	['ivacaftor', 'lumacaftor/ivacaftor', 'tezacaftor/ivacaftor', 'elexacaftor/tezacaftor/ivacaftor.']	0.25	1.0
CYP2B6	fluvoxamine;vortioxetine;escitalopram;levomilnacipran;milnacipran;paroxetine;venlafaxine;desvenlafaxine;vilazodone;duloxetine;sertraline;fluoxetine;efavirenz;citalopram	Which drugs have actionable CPIC guidelines for CYP2B6? Please respond with nothing but a list of generic drug names delimited by ';'.	fluvoxamine;vortioxetine;escitalopram;levomilnacipran;milnacipran;paroxetine;venlafaxine;desvenlafaxine;vilazodone;duloxetine;sertraline;fluoxetine;efavirenz;citalopram	efavirenz; bupropion; cyclophosphamide; methadone; propofol; sevoflurane	['efavirenz', 'bupropion', 'cyclophosphamide', 'methadone', 'propofol', 'sevoflurane']	0.16666666666666666	0.07142857142857142
CYP2C19	desipramine;vortioxetine;omeprazole;fluvoxamine;doxepin;rabeprazole;levomilnacipran;milnacipran;vilazodone;sertraline;imipramine;clomipramine;escitalopram;amitriptyline;dexlansoprazole;paroxetine;venlafaxine;trimipramine;pantoprazole;citalopram;clopidogrel;lansoprazole;nortriptyline;desvenlafaxine;esomeprazole;duloxetine;fluoxetine;voriconazole	Which drugs have actionable CPIC guidelines for CYP2C19? Please respond with nothing but a list of generic drug names delimited by ';'.	desipramine;vortioxetine;omeprazole;fluvoxamine;doxepin;rabeprazole;levomilnacipran;milnacipran;vilazodone;sertraline;imipramine;clomipramine;escitalopram;amitriptyline;dexlansoprazole;paroxetine;venlafaxine;trimipramine;pantoprazole;citalopram;clopidogrel;lansoprazole;nortriptyline;desvenlafaxine;esomeprazole;duloxetine;fluoxetine;voriconazole	citalopram; clopidogrel; clomipramine; diazepam; escitalopram; imipramine; lansoprazole; omeprazole; pantoprazole; rabeprazole; sertraline; voriconazole	['citalopram', 'clopidogrel', 'clomipramine', 'diazepam', 'escitalopram', 'imipramine', 'lansoprazole', 'omeprazole', 'pantoprazole', 'rabeprazole', 'sertraline', 'voriconazole']	0.9166666666666666	0.39285714285714285
CYP2C9	pitavastatin;indomethacin;lovastatin;meloxicam;flurbiprofen;diclofenac;celecoxib;aceclofenac;lumiracoxib;pravastatin;simvastatin;piroxicam;metamizole;tenoxicam;lornoxicam;fosphenytoin;naproxen;nabumetone;phenytoin;rosuvastatin;fluvastatin;atorvastatin;ibuprofen	Which drugs have actionable CPIC guidelines for CYP2C9? Please respond with nothing but a list of generic drug names delimited by ';'.	pitavastatin;indomethacin;lovastatin;meloxicam;flurbiprofen;diclofenac;celecoxib;aceclofenac;lumiracoxib;pravastatin;simvastatin;piroxicam;metamizole;tenoxicam;lornoxicam;fosphenytoin;naproxen;nabumetone;phenytoin;rosuvastatin;fluvastatin;atorvastatin;ibuprofen	Celecoxib; diclofenac; phenytoin; warfarin.	['celecoxib', 'diclofenac', 'phenytoin', 'warfarin.']	0.75	0.13043478260869565
CYP2D6	desipramine;buprenorphine;vortioxetine;levomethadone;fentanyl;tropisetron;morphine;fluvoxamine;doxepin;hydrocodone;levomilnacipran;milnacipran;hydromorphone;vilazodone;methadone;sertraline;imipramine;sufentanil;ondansetron;tamoxifen;clomipramine;escitalopram;amitriptyline;atomoxetine;paroxetine;venlafaxine;trimipramine;citalopram;remifentanil;tramadol;codeine;alfentanil;nortriptyline;desvenlafaxine;naltrexone;duloxetine;oxycodone;fluoxetine	Which drugs have actionable CPIC guidelines for CYP2D6? Please respond with nothing but a list of generic drug names delimited by ';'.	desipramine;buprenorphine;vortioxetine;levomethadone;fentanyl;tropisetron;morphine;fluvoxamine;doxepin;hydrocodone;levomilnacipran;milnacipran;hydromorphone;vilazodone;methadone;sertraline;imipramine;sufentanil;ondansetron;tamoxifen;clomipramine;escitalopram;amitriptyline;atomoxetine;paroxetine;venlafaxine;trimipramine;citalopram;remifentanil;tramadol;codeine;alfentanil;nortriptyline;desvenlafaxine;naltrexone;duloxetine;oxycodone;fluoxetine	codeine; tramadol; oxycodone; hydrocodone; ondansetron; tamoxifen; paroxetine; fluoxetine; venlafaxine; aripiprazole; risperidone; iloperidone	['codeine', 'tramadol', 'oxycodone', 'hydrocodone', 'ondansetron', 'tamoxifen', 'paroxetine', 'fluoxetine', 'venlafaxine', 'aripiprazole', 'risperidone', 'iloperidone']	0.75	0.23684210526315788
CYP3A5	tacrolimus	Which drugs have actionable CPIC guidelines for CYP3A5? Please respond with nothing but a list of generic drug names delimited by ';'.	tacrolimus	Tacrolimus; Simvastatin; Everolimus	['tacrolimus', 'simvastatin', 'everolimus']	0.3333333333333333	1.0
DPYD	fluorouracil;capecitabine;tegafur	Which drugs have actionable CPIC guidelines for DPYD? Please respond with nothing but a list of generic drug names delimited by ';'.	fluorouracil;capecitabine;tegafur	Fluorouracil; capecitabine	['fluorouracil', 'capecitabine']	1.0	0.6666666666666666
G6PD	glipizide;aspirin;toluidine blue;aminosalicylic acid;sulfamethoxazole / trimethoprim;methylene blue;trametinib;glimepiride;sulfacetamide;sulfisoxazole;furazolidone;mesalazine;sulfadiazine;dimercaprol;tolbutamide;sodium nitrite;vitamin k;tolazamide;dabrafenib;chlorpropamide;quinine;moxifloxacin;norfloxacin;mafenide;dapsone;sulfadimidine;vitamin c;probenecid;glyburide;sulfasalazine;hydroxychloroquine;nalidixic acid;gliclazide;primaquine;nitrofurantoin;chloramphenicol;pegloticase;ciprofloxacin;rasburicase;ofloxacin;mepacrine;chloroquine;doxorubicin;phenazopyridine;tafenoquine;sulfanilamide;nicorandil;nitrofural	Which drugs have actionable CPIC guidelines for G6PD? Please respond with nothing but a list of generic drug names delimited by ';'.	glipizide;aspirin;toluidine blue;aminosalicylic acid;sulfamethoxazole / trimethoprim;methylene blue;trametinib;glimepiride;sulfacetamide;sulfisoxazole;furazolidone;mesalazine;sulfadiazine;dimercaprol;tolbutamide;sodium nitrite;vitamin k;tolazamide;dabrafenib;chlorpropamide;quinine;moxifloxacin;norfloxacin;mafenide;dapsone;sulfadimidine;vitamin c;probenecid;glyburide;sulfasalazine;hydroxychloroquine;nalidixic acid;gliclazide;primaquine;nitrofurantoin;chloramphenicol;pegloticase;ciprofloxacin;rasburicase;ofloxacin;mepacrine;chloroquine;doxorubicin;phenazopyridine;tafenoquine;sulfanilamide;nicorandil;nitrofural	Rasburicase; Pegloticase.	['rasburicase', 'pegloticase.']	0.5	0.020833333333333332
