drug	genes	mode	question	answer	llm_answer	llm_genes	precision	recall
abacavir	HLA-B	clinician	I want to give my patient abacavir. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	HLA-B	['HLA-B']	1.0	1.0
abacavir	HLA-B	researcher	What genes have actionable pharmacogenetic guidelines for abacavir? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	HLA-B	['HLA-B']	1.0	1.0
allopurinol	HLA-B	clinician	I want to give my patient allopurinol. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	HLA-B; CYP2C9; CYP2C19	['HLA-B', 'CYP2C9', 'CYP2C19']	0.3333333333333333	1.0
allopurinol	HLA-B	researcher	What genes have actionable pharmacogenetic guidelines for allopurinol? Please respond with nothing but a list of gene symbols delimited by ';'.	HLA-B	HLA-B	['HLA-B']	1.0	1.0
amikacin	MT-RNR1	clinician	I want to give my patient amikacin. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	MT-RNR1; MT-TS1; MT-TL1	['MT-RNR1', 'MT-TS1', 'MT-TL1']	0.3333333333333333	1.0
amikacin	MT-RNR1	researcher	What genes have actionable pharmacogenetic guidelines for amikacin? Please respond with nothing but a list of gene symbols delimited by ';'.	MT-RNR1	No genes have actionable pharmacogenetic guidelines for amikacin.	['No genes have actionable pharmacogenetic guidelines for amikacin.']	0.0	0.0
amitriptyline	CYP2D6;CYP2C19	clinician	I want to give my patient amitriptyline. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6;CYP2C19	CYP2D6;CYP2C19;CYP2C9;CYP3A4	['CYP2D6', 'CYP2C19', 'CYP2C9', 'CYP3A4']	0.5	1.0
amitriptyline	CYP2D6;CYP2C19	researcher	What genes have actionable pharmacogenetic guidelines for amitriptyline? Please respond with nothing but a list of gene symbols delimited by ';'.	CYP2D6;CYP2C19	CYP2D6;CYP2C19	['CYP2D6', 'CYP2C19']	1.0	1.0
atazanavir	UGT1A1	clinician	I want to give my patient atazanavir. What genes should I include in a pharmacogenetics panel? Please respond with nothing but a list of gene symbols delimited by ';'.	UGT1A1	SLCO1B1; UGT1A1	['SLCO1B1', 'UGT1A1']	0.5	1.0
atazanavir	UGT1A1	researcher	What genes have actionable pharmacogenetic guidelines for atazanavir? Please respond with nothing but a list of gene symbols delimited by ';'.	UGT1A1	UGT1A1;HLA-B	['UGT1A1', 'HLA-B']	0.5	1.0
